Freq[Hz]     dBSPL  Phase[Deg]
10093.2     39.825     0.000
10240.0     39.825     0.000
10388.9     39.825     0.000
10540.1     39.825     0.000
10693.4     39.825     0.000
10848.9     39.825     0.000
11006.7     39.825     0.000
11166.8     39.825     0.000
11329.2     39.825     0.000
11494.0     39.825     0.000
11661.2     39.825     0.000
11830.8     39.825     0.000
12002.9     39.825     0.000
12177.5     39.825     0.000
12354.6     39.825     0.000
12534.3     39.825     0.000
12716.6     39.825     0.000
12901.6     39.825     0.000
13089.2     39.825     0.000
13279.6     39.825     0.000
13472.8     39.825     0.000
13668.8     39.825     0.000
13867.6     39.825     0.000
14069.3     39.825     0.000
14273.9     39.825     0.000
14481.5     39.825     0.000
14692.2     39.825     0.000
14905.9     39.825     0.000
15122.7     39.825     0.000
15342.7     39.825     0.000
15565.8     39.825     0.000
15792.2     39.825     0.000
16021.9     39.825     0.000
16255.0     39.825     0.000
16491.4     39.825     0.000
16731.3     39.825     0.000
16974.7     39.825     0.000
17221.6     39.825     0.000
17472.1     39.825     0.000
17726.2     39.825     0.000
17984.0     39.825     0.000
18245.6     39.825     0.000
18511.0     39.825     0.000
18780.2     39.825     0.000
19053.4     39.825     0.000
19330.5     39.825     0.000
19611.7     39.825     0.000
19897.0     39.825     0.000
20186.4     39.825     0.000
20480.0     39.825     0.000
20777.9     39.825     0.000
21080.1     39.825     0.000
21386.7     39.825     0.000
21697.8     39.825     0.000
22013.4     39.825     0.000
22333.6     39.825     0.000
22658.4     39.825     0.000
22988.0     39.825     0.000
23322.4     39.825     0.000
23661.6     39.825     0.000
24005.8     39.825     0.000
24355.0     39.825     0.000
24709.2     39.825     0.000
25068.6     39.825     0.000
25433.2     39.825     0.000
25803.2     39.825     0.000
26178.5     39.825     0.000
26559.3     39.825     0.000
26945.6     39.825     0.000
27337.5     39.825     0.000
27735.2     39.825     0.000
28138.6     39.825     0.000
28547.9     39.825     0.000
28963.1     39.825     0.000
29384.4     39.825     0.000
29811.8     39.825     0.000
30245.4     39.825     0.000
30685.3     39.825     0.000
31131.7     39.825     0.000
31584.5     39.825     0.000
32043.9     39.825     0.000
32510.0     39.825     0.000
32982.8     39.825     0.000
33462.6     39.825     0.000
33949.3     39.825     0.000
34443.1     39.825     0.000
34944.1     39.825     0.000
35452.4     39.825     0.000
35968.0     39.825     0.000
36491.2     39.825     0.000
37022.0     39.825     0.000
37560.5     39.825     0.000
38106.8     39.825     0.000
38661.1     39.825     0.000
39223.4     39.825     0.000
39793.9     39.825     0.000
