Freq[Hz]     dBSPL  Phase[Deg]
409.039     58.125     1.238
414.989     58.136     1.462
421.025     58.151     1.677
427.149     58.165     1.884
433.362     58.177     2.083
439.665     58.182     2.284
446.060     58.191     2.492
452.548     58.205     2.696
459.131     58.220     2.896
465.809     58.235     3.091
472.584     58.243     3.283
479.458     58.252     3.478
486.432     58.267     3.670
493.507     58.282     3.861
500.686     58.297     4.051
507.968     58.306     4.238
515.357     58.316     4.430
522.853     58.330     4.623
530.458     58.345     4.817
538.174     58.360     5.011
546.002     58.374     5.198
553.943     58.390     5.380
562.001     58.405     5.563
570.175     58.421     5.750
578.469     58.436     5.932
586.883     58.452     6.110
595.419     58.467     6.292
604.080     58.486     6.473
612.866     58.504     6.646
621.780     58.520     6.816
630.824     58.536     6.989
640.000     58.555     7.158
649.309     58.574     7.319
658.753     58.590     7.480
668.335     58.606     7.648
678.056     58.621     7.818
687.919     58.637     7.990
697.925     58.653     8.168
708.077     58.675     8.346
718.376     58.697     8.509
728.825     58.714     8.669
739.426     58.734     8.829
750.181     58.753     8.982
761.093     58.770     9.138
772.163     58.786     9.304
783.394     58.803     9.475
794.789     58.821     9.645
806.349     58.838     9.822
818.078     58.860    10.001
829.977     58.882    10.171
842.050     58.899    10.342
854.298     58.922    10.516
866.724     58.944    10.683
879.330     58.961    10.855
892.120     58.983    11.033
905.097     59.006    11.205
918.262     59.025    11.381
931.618     59.049    11.560
945.169     59.072    11.732
958.917     59.093    11.908
972.864     59.118    12.083
987.015     59.139    12.255
1001.37     59.162    12.432
1015.94     59.187    12.605
1030.71     59.206    12.782
1045.71     59.229    12.968
1060.92     59.252    13.151
1076.35     59.270    13.347
1092.00     59.294    13.552
1107.89     59.317    13.756
1124.00     59.341    13.964
1140.35     59.369    14.169
1156.94     59.391    14.376
1173.77     59.415    14.592
1190.84     59.438    14.810
1208.16     59.459    15.039
1225.73     59.487    15.276
1243.56     59.510    15.514
1261.65     59.533    15.763
1280.00     59.558    16.018
1298.62     59.577    16.293
1317.51     59.600    16.590
1336.67     59.623    16.898
1356.11     59.646    17.224
1375.84     59.676    17.562
1395.85     59.700    17.914
1416.15     59.725    18.291
1436.75     59.748    18.690
1457.65     59.772    19.125
1478.85     59.801    19.596
1500.36     59.825    20.110
1522.19     59.852    20.684
1544.33     59.878    21.330
1566.79     59.910    22.061
1589.58     59.960    22.867
1612.70     60.028    23.722
1636.16     60.119    24.598
1659.95     60.231    25.461
1684.10     60.360    26.289
1708.60     60.500    27.074
1733.45     60.650    27.816
1758.66     60.811    28.513
1784.24     60.985    29.162
1810.19     61.167    29.762
1836.52     61.356    30.318
1863.24     61.559    30.814
1890.34     61.772    31.237
1917.83     61.993    31.595
1945.73     62.222    31.881
1974.03     62.453    32.090
2002.74     62.689    32.229
2031.87     62.933    32.297
2061.43     63.182    32.294
2091.41     63.438    32.207
2121.83     63.696    32.030
2152.69     63.958    31.770
2184.01     64.219    31.435
2215.77     64.480    31.025
2248.00     64.742    30.544
2280.70     65.009    29.993
2313.87     65.286    29.357
2347.53     65.570    28.610
2381.68     65.859    27.739
2416.32     66.153    26.723
2451.46     66.450    25.537
2487.12     66.741    24.172
2523.30     67.027    22.621
2560.00     67.295    20.886
2597.24     67.533    19.006
2635.01     67.735    17.029
2673.34     67.902    15.000
2712.23     68.040    12.957
2751.68     68.160    10.928
2791.70     68.267     8.916
2832.31     68.366     6.904
2873.50     68.450     4.885
2915.30     68.525     2.854
2957.70     68.583     0.806
3000.72     68.621    -1.249
3044.37     68.644    -3.297
3088.65     68.646    -5.326
3133.58     68.626    -7.308
3179.16     68.589    -9.230
3225.40     68.536   -11.078
3272.31     68.475   -12.846
3319.91     68.408   -14.531
3368.20     68.333   -16.136
3417.19     68.257   -17.670
3466.89     68.179   -19.146
3517.32     68.104   -20.571
3568.48     68.028   -21.951
3620.39     67.948   -23.294
3673.05     67.863   -24.596
3726.47     67.776   -25.854
3780.67     67.690   -27.065
3835.67     67.603   -28.233
3891.46     67.520   -29.368
3948.06     67.440   -30.483
4005.49     67.361   -31.580
4063.75     67.281   -32.657
4122.86     67.201   -33.723
4182.82     67.115   -34.769
4243.66     67.030   -35.785
4305.39     66.947   -36.776
4368.01     66.861   -37.741
4431.55     66.779   -38.682
4496.01     66.701   -39.613
4561.40     66.625   -40.534
4627.75     66.550   -41.446
4695.06     66.473   -42.353
4763.35     66.396   -43.254
4832.64     66.321   -44.146
4902.93     66.246   -45.023
4974.24     66.169   -45.884
5046.60     66.092   -46.732
5120.00     66.017   -47.566
5194.47     65.949   -48.391
5270.03     65.886   -49.220
5346.68     65.823   -50.054
5424.45     65.758   -50.892
5503.35     65.695   -51.735
5583.40     65.632   -52.578
5664.61     65.573   -53.423
5747.01     65.513   -54.272
5830.60     65.454   -55.120
5915.41     65.394   -55.965
6001.45     65.334   -56.805
6088.74     65.281   -57.644
6177.30     65.234   -58.494
6267.15     65.188   -59.355
6358.31     65.148   -60.234
6450.80     65.109   -61.142
6544.62     65.070   -62.073
6639.82     65.039   -63.030
6736.40     65.008   -64.019
6834.38     64.978   -65.035
6933.79     64.947   -66.082
7034.64     64.925   -67.168
7136.96     64.909   -68.316
7240.77     64.901   -69.545
7346.09     64.898   -70.879
7452.94     64.889   -72.328
7561.35     64.866   -73.875
7671.33     64.827   -75.503
7782.91     64.768   -77.186
7896.12     64.691   -78.896
8010.97     64.604   -80.620
8127.49     64.503   -82.352
8245.71     64.389   -84.077
8365.65     64.262   -85.793
8487.33     64.122   -87.491
8610.78     63.974   -89.169
8736.03     63.816   -90.820
8863.09     63.650   -92.439
8992.01     63.477   -94.030
9122.80     63.291   -95.581
9255.50     63.102   -97.092
9390.12     62.913   -98.574
9526.70     62.717  -100.025
9665.27     62.520  -101.446
9805.86     62.316  -102.845
9948.49     62.105  -104.214
10093.2     61.893  -105.554
10240.0     61.681  -106.871
10388.9     61.467  -108.171
10540.1     61.249  -109.455
10693.4     61.022  -110.713
10848.9     60.794  -111.953
11006.7     60.560  -113.169
11166.8     60.325  -114.353
11329.2     60.089  -115.515
11494.0     59.841  -116.646
11661.2     59.593  -117.739
11830.8     59.342  -118.801
12002.9     59.090  -119.831
12177.5     58.844  -120.839
12354.6     58.591  -121.831
12534.3     58.334  -122.797
12716.6     58.070  -123.729
12901.6     57.799  -124.613
13089.2     57.526  -125.438
13279.6     57.257  -126.214
13472.8     56.995  -126.956
13668.8     56.736  -127.672
13867.6     56.478  -128.365
14069.3     56.214  -129.033
14273.9     55.948  -129.665
14481.5     55.685  -130.260
14692.2     55.427  -130.822
14905.9     55.174  -131.357
15122.7     54.926  -131.883
15342.7     54.675  -132.392
15565.8     54.427  -132.881
15792.2     54.179  -133.353
16021.9     53.932  -133.801
16255.0     53.693  -134.231
16491.4     53.455  -134.647
16731.3     53.217  -135.042
16974.7     52.985  -135.425
17221.6     52.757  -135.802
17472.1     52.537  -136.175
17726.2     52.323  -136.557
17984.0     52.110  -136.950
18245.6     51.898  -137.349
18511.0     51.687  -137.750
18780.2     51.483  -138.163
19053.4     51.292  -138.617
19330.5     51.114  -139.142
19611.7     50.938  -139.754
19897.0     50.748  -140.443
20186.4     50.537  -141.177
20480.0     50.304  -141.912
20777.9     50.061  -142.611
21080.1     49.815  -143.261
21386.7     49.569  -143.867
21697.8     49.323  -144.440
22013.4     49.077  -144.988
22333.6     48.831  -145.517
22658.4     48.585  -146.028
22988.0     48.339  -146.525
23322.4     48.093  -147.009
23661.6     47.847  -147.480
24005.8     47.601  -147.941
24355.0     47.355  -148.391
24709.2     47.109  -148.831
25068.6     46.863  -149.262
25433.2     46.617  -149.685
25803.2     46.371  -150.099
26178.5     46.125  -150.505
26559.3     45.879  -150.903
26945.6     45.633  -151.294
27337.5     45.387  -151.678
27735.2     45.141  -152.056
28138.6     44.895  -152.427
28547.9     44.649  -152.791
28963.1     44.403  -153.149
29384.4     44.157  -153.501
29811.8     43.911  -153.848
30245.4     43.665  -154.188
30685.3     43.419  -154.523
31131.7     43.173  -154.853
31584.5     42.926  -155.178
32043.9     42.680  -155.497
32510.0     42.434  -155.811
32982.8     42.188  -156.120
33462.6     41.942  -156.425
33949.3     41.696  -156.725
34443.1     41.450  -157.021
34944.1     41.204  -157.312
35452.4     40.958  -157.599
35968.0     40.712  -157.882
36491.2     40.466  -158.161
37022.0     40.220  -158.436
37560.5     39.974  -158.712
38106.8     39.732  -158.963
38661.1     39.499  -159.201
39223.4     39.322  -159.383
39793.9     39.200  -159.526
